ID,Stock,Date,Open,High,Low,Close,Volume,AdjClose
28,IBM,9/2/2003,$82.40 ,$93.47 ,$82.30 ,$88.33 ,8523800,$85.81 
29,IBM,8/1/2003,$81.15 ,$84.72 ,$78.73 ,$82.01 ,5624661,$79.67 
30,IBM,7/1/2003,$81.40 ,$87.03 ,$80.58 ,$81.25 ,7362086,$78.77 
31,IBM,6/2/2003,$89.00 ,$89.08 ,$79.81 ,$82.50 ,9163771,$79.98 
32,IBM,5/1/2003,$85.30 ,$90.40 ,$84.45 ,$88.04 ,7415819,$85.36 
33,IBM,4/1/2003,$78.50 ,$86.49 ,$78.12 ,$84.90 ,8872342,$82.16 
34,IBM,3/3/2003,$78.90 ,$84.90 ,$73.17 ,$78.43 ,9624114,$75.90 
35,IBM,2/3/2003,$78.20 ,$80.05 ,$74.31 ,$77.95 ,8013573,$75.44 
36,IBM,1/2/2003,$78.80 ,$88.95 ,$77.02 ,$78.20 ,9698933,$75.53 
37,IBM,12/2/2002,$88.60 ,$89.46 ,$75.60 ,$77.50 ,7592138,$74.85 
38,IBM,11/1/2002,$78.90 ,$88.11 ,$76.70 ,$86.92 ,9370940,$83.95 
39,IBM,10/1/2002,$59.20 ,$79.79 ,$54.01 ,$78.94 ,12847417,$76.11 
40,IBM,9/3/2002,$74.20 ,$77.50 ,$57.99 ,$58.31 ,9934225,$56.22 
41,IBM,8/1/2002,$70.40 ,$82.85 ,$65.85 ,$75.38 ,7787490,$72.67 
42,IBM,7/1/2002,$72.01 ,$74.20 ,$65.70 ,$70.40 ,11771613,$67.72 
43,IBM,6/3/2002,$80.75 ,$80.95 ,$66.10 ,$72.00 ,10096315,$69.26 
44,IBM,5/1/2002,$83.85 ,$86.49 ,$75.92 ,$80.45 ,8084754,$77.39 
45,IBM,4/1/2002,$104.00 ,$104.00 ,$83.34 ,$83.76 ,11608509,$80.42 
46,IBM,3/1/2002,$98.60 ,$108.85 ,$98.50 ,$104.00 ,7830800,$99.85 
47,IBM,2/1/2002,$107.64 ,$109.30 ,$95.76 ,$98.12 ,9487368,$94.20 
48,IBM,1/2/2002,$120.60 ,$126.39 ,$101.00 ,$107.89 ,9687614,$103.45 
49,IBM,12/3/2001,$114.80 ,$124.70 ,$113.21 ,$120.96 ,6845325,$115.98 
50,IBM,11/1/2001,$107.25 ,$117.00 ,$106.90 ,$115.59 ,6701623,$110.83 
51,IBM,10/1/2001,$91.72 ,$112.10 ,$91.34 ,$108.07 ,10066486,$103.49 
52,IBM,9/4/2001,$100.15 ,$103.13 ,$87.49 ,$91.72 ,13359313,$87.83 
53,IBM,8/1/2001,$105.35 ,$110.09 ,$98.86 ,$99.95 ,6588178,$95.71 
54,IBM,7/2/2001,$113.50 ,$115.40 ,$101.56 ,$105.21 ,7934257,$100.62 
55,IBM,6/1/2001,$112.50 ,$119.00 ,$111.10 ,$113.50 ,7257480,$108.55 
56,IBM,5/1/2001,$115.85 ,$119.90 ,$110.96 ,$111.80 ,7549104,$106.92 
57,IBM,4/2/2001,$97.45 ,$118.05 ,$90.05 ,$115.14 ,11678405,$109.98 
58,IBM,3/1/2001,$99.30 ,$108.40 ,$87.65 ,$96.18 ,12000513,$91.87 
59,IBM,2/1/2001,$112.40 ,$118.64 ,$99.10 ,$99.90 ,8861689,$95.43 
60,IBM,1/2/2001,$84.50 ,$116.75 ,$83.75 ,$112.00 ,9872776,$106.86 
61,IBM,12/1/2000,$94.44 ,$104.75 ,$80.06 ,$85.00 ,8739385,$81.10 
62,IBM,11/1/2000,$98.44 ,$104.37 ,$91.62 ,$93.50 ,6720342,$89.21 
63,IBM,10/2/2000,$112.62 ,$119.62 ,$86.94 ,$98.50 ,10658263,$93.86 
64,IBM,9/1/2000,$133.06 ,$134.94 ,$110.25 ,$112.62 ,5855495,$107.32 
65,IBM,8/1/2000,$112.00 ,$134.25 ,$110.25 ,$132.02 ,5545682,$125.80 
66,IBM,7/3/2000,$108.75 ,$117.81 ,$100.00 ,$112.25 ,7764845,$106.84 
67,IBM,6/1/2000,$107.56 ,$122.31 ,$105.50 ,$109.56 ,6586172,$104.28 
68,IBM,5/1/2000,$112.50 ,$113.62 ,$102.00 ,$107.31 ,5800554,$102.14 
69,IBM,4/3/2000,$120.00 ,$128.00 ,$101.25 ,$111.50 ,9127221,$106.00 
70,IBM,3/1/2000,$102.00 ,$128.25 ,$99.50 ,$118.37 ,8800373,$112.53 
71,IBM,2/1/2000,$112.37 ,$119.75 ,$100.94 ,$102.75 ,7203815,$97.68 
72,IBM,1/3/2000,$112.44 ,$124.75 ,$109.62 ,$112.25 ,9076280,$106.60 
73,IBM,12/1/1999,$102.56 ,$122.12 ,$102.25 ,$107.87 ,7343740,$102.44 
74,IBM,11/1/1999,$98.50 ,$109.87 ,$90.00 ,$103.06 ,10524366,$97.88 
75,IBM,10/1/1999,$121.00 ,$123.25 ,$89.00 ,$98.25 ,15068947,$93.18 
76,IBM,9/1/1999,$125.62 ,$137.69 ,$119.62 ,$121.00 ,7380161,$114.76 
77,IBM,8/2/1999,$124.00 ,$129.63 ,$117.56 ,$124.56 ,6115295,$118.14 
78,IBM,7/1/1999,$130.00 ,$139.19 ,$122.62 ,$125.69 ,6530133,$119.09 
79,IBM,6/1/1999,$113.62 ,$132.00 ,$109.44 ,$129.25 ,6336504,$122.47 
80,IBM,5/3/1999,$208.00 ,$246.00 ,$112.62 ,$116.00 ,10937435,$109.91 
81,IBM,4/1/1999,$177.31 ,$215.25 ,$163.00 ,$209.19 ,13167533,$98.99 
82,IBM,3/1/1999,$169.50 ,$185.94 ,$164.00 ,$177.25 ,10290000,$83.88 
83,IBM,2/1/1999,$184.50 ,$184.50 ,$161.75 ,$169.75 ,11474200,$80.33 
84,IBM,1/4/1999,$185.00 ,$199.25 ,$173.50 ,$183.25 ,13521831,$86.60 
85,IBM,12/1/1998,$163.50 ,$189.94 ,$162.25 ,$184.38 ,6636845,$87.14 
86,IBM,11/2/1998,$148.44 ,$170.56 ,$145.75 ,$165.13 ,7166840,$78.04 
87,IBM,10/1/1998,$125.06 ,$149.81 ,$116.81 ,$148.50 ,11648536,$70.08 
88,IBM,9/1/1998,$113.00 ,$136.19 ,$110.75 ,$128.50 ,9511533,$60.64 
89,IBM,8/3/1998,$134.00 ,$134.88 ,$112.62 ,$112.62 ,9637561,$53.14 
90,IBM,7/1/1998,$116.00 ,$138.13 ,$112.75 ,$132.50 ,8495590,$62.42 
91,IBM,6/1/1998,$117.37 ,$120.00 ,$106.00 ,$114.81 ,7841036,$54.09 
92,IBM,5/1/1998,$115.94 ,$129.31 ,$115.50 ,$117.50 ,7878370,$55.35 
93,IBM,4/1/1998,$103.87 ,$120.00 ,$103.31 ,$115.87 ,8724247,$54.48 
94,IBM,3/2/1998,$104.19 ,$106.69 ,$95.87 ,$103.87 ,7565663,$48.84 
95,IBM,2/2/1998,$100.00 ,$105.87 ,$97.50 ,$104.44 ,7808231,$49.11 
96,IBM,1/2/1998,$104.50 ,$108.37 ,$95.62 ,$98.75 ,10603100,$46.34 
97,IBM,12/1/1997,$110.00 ,$113.50 ,$96.37 ,$104.62 ,8859200,$49.09 
98,IBM,11/3/1997,$99.12 ,$109.94 ,$95.25 ,$109.50 ,7922273,$51.38 
99,IBM,10/1/1997,$106.12 ,$107.25 ,$88.62 ,$98.50 ,10361973,$46.13 
100,IBM,9/2/1997,$101.37 ,$107.44 ,$96.12 ,$106.00 ,8736476,$49.65 
101,IBM,8/1/1997,$105.50 ,$109.44 ,$99.69 ,$101.37 ,7775914,$47.48 
102,IBM,7/1/1997,$90.25 ,$108.44 ,$90.12 ,$105.75 ,9792818,$49.44 
103,IBM,6/2/1997,$87.75 ,$93.75 ,$81.75 ,$90.25 ,8296771,$42.19 
104,IBM,5/1/1997,$160.50 ,$179.25 ,$84.50 ,$86.50 ,13671800,$40.44 
105,IBM,4/1/1997,$137.00 ,$161.13 ,$127.12 ,$160.50 ,15685472,$37.52 
106,IBM,3/3/1997,$143.75 ,$149.75 ,$130.00 ,$137.25 ,14722700,$32.08 
107,IBM,2/3/1997,$157.38 ,$157.38 ,$137.13 ,$143.75 ,16956421,$33.60 
108,IBM,1/2/1997,$153.75 ,$170.13 ,$145.00 ,$156.88 ,19412090,$36.58 
109,IBM,12/2/1996,$159.63 ,$166.00 ,$147.25 ,$151.50 ,13216571,$35.33 
110,IBM,11/1/1996,$128.88 ,$160.75 ,$127.12 ,$159.38 ,14687200,$37.17 
111,IBM,10/1/1996,$124.00 ,$135.38 ,$123.12 ,$129.00 ,10678156,$30.00 
112,IBM,9/3/1996,$113.25 ,$127.87 ,$112.56 ,$124.50 ,11048640,$28.95 
113,IBM,8/1/1996,$108.00 ,$115.75 ,$107.25 ,$114.37 ,8832436,$26.60 
114,IBM,7/1/1996,$99.25 ,$108.87 ,$89.12 ,$107.50 ,14386836,$24.92 
115,IBM,6/3/1996,$106.37 ,$106.62 ,$96.12 ,$99.00 ,12099540,$22.95 
116,IBM,5/1/1996,$107.75 ,$112.50 ,$103.62 ,$106.75 ,10668872,$24.75 
117,IBM,4/1/1996,$112.12 ,$120.87 ,$103.37 ,$107.75 ,18113809,$24.90 
118,IBM,3/1/1996,$121.62 ,$125.50 ,$107.62 ,$111.25 ,16350666,$25.70 
119,IBM,2/1/1996,$108.75 ,$128.88 ,$108.12 ,$122.62 ,18545440,$28.33 
120,IBM,1/2/1996,$91.37 ,$109.87 ,$83.12 ,$108.50 ,20732690,$25.01 
121,IBM,12/1/1995,$97.00 ,$97.25 ,$87.75 ,$91.37 ,12622060,$21.07 
122,IBM,11/1/1995,$97.25 ,$102.37 ,$93.00 ,$96.62 ,11101047,$22.28 
123,IBM,10/2/1995,$95.00 ,$99.25 ,$89.12 ,$97.25 ,15599727,$22.36 
124,IBM,9/1/1995,$102.75 ,$104.50 ,$91.62 ,$94.50 ,19990140,$21.73 
125,IBM,8/1/1995,$109.12 ,$114.62 ,$98.62 ,$103.37 ,12608295,$23.77 
126,IBM,7/3/1995,$96.25 ,$111.25 ,$95.75 ,$108.87 ,15672220,$24.98 
127,IBM,6/1/1995,$93.50 ,$99.37 ,$88.37 ,$96.00 ,12574127,$22.03 
128,IBM,5/1/1995,$93.87 ,$97.87 ,$91.50 ,$93.00 ,12325127,$21.34 
129,IBM,4/3/1995,$82.25 ,$96.87 ,$82.25 ,$94.62 ,12843473,$21.65 
130,IBM,3/1/1995,$75.12 ,$85.12 ,$75.12 ,$82.12 ,11587652,$18.79 
131,IBM,2/1/1995,$72.37 ,$76.25 ,$72.25 ,$75.25 ,7799178,$17.22 
132,IBM,1/3/1995,$73.50 ,$78.00 ,$70.25 ,$72.12 ,10532171,$16.45 
133,IBM,12/1/1994,$70.62 ,$74.62 ,$68.87 ,$73.50 ,8004342,$16.76 
134,IBM,11/1/1994,$74.37 ,$75.25 ,$68.00 ,$70.75 ,9145695,$16.14 
135,IBM,10/3/1994,$69.37 ,$76.37 ,$67.37 ,$74.50 ,10742285,$16.93 
136,IBM,9/1/1994,$66.87 ,$71.37 ,$66.62 ,$69.62 ,9104038,$15.82 
137,IBM,8/1/1994,$61.88 ,$70.12 ,$61.50 ,$68.50 ,10940626,$15.57 
138,IBM,7/1/1994,$59.00 ,$63.13 ,$54.50 ,$61.88 ,11361800,$14.01 
139,IBM,6/1/1994,$63.00 ,$65.00 ,$58.13 ,$58.75 ,8683600,$13.30 
140,IBM,5/2/1994,$57.50 ,$64.12 ,$56.25 ,$63.00 ,9430914,$14.26 
141,IBM,4/4/1994,$53.00 ,$59.50 ,$51.38 ,$57.50 ,11657178,$12.96 
142,IBM,3/1/1994,$52.88 ,$58.88 ,$51.38 ,$54.63 ,11347200,$12.31 
143,IBM,2/1/1994,$56.88 ,$57.38 ,$52.00 ,$52.88 ,8047831,$11.92 
144,IBM,1/3/1994,$56.88 ,$60.00 ,$54.75 ,$56.50 ,10605466,$12.68 
145,IBM,12/1/1993,$54.75 ,$59.88 ,$52.75 ,$56.50 ,9310272,$12.68 
146,IBM,11/1/1993,$46.00 ,$56.13 ,$45.75 ,$53.88 ,13258628,$12.09 
147,IBM,10/1/1993,$42.13 ,$46.63 ,$42.13 ,$46.00 ,9049752,$10.27 
148,IBM,9/1/1993,$45.75 ,$46.38 ,$41.25 ,$42.00 ,7134704,$9.38 
149,IBM,8/2/1993,$44.38 ,$45.88 ,$40.63 ,$45.75 ,6854418,$10.22 
150,IBM,7/1/1993,$49.63 ,$49.75 ,$41.13 ,$44.50 ,10187142,$9.88 
151,IBM,6/1/1993,$53.25 ,$54.38 ,$48.50 ,$49.38 ,6824090,$10.96 
152,IBM,5/3/1993,$49.13 ,$54.00 ,$47.13 ,$52.75 ,8025980,$11.71 
153,IBM,4/1/1993,$51.50 ,$53.13 ,$47.38 ,$48.63 ,8116971,$10.68 
154,IBM,3/1/1993,$54.75 ,$57.13 ,$49.88 ,$50.88 ,9554069,$11.17 
155,IBM,2/1/1993,$52.00 ,$54.88 ,$48.75 ,$54.38 ,10955557,$11.94 
156,IBM,1/4/1993,$51.75 ,$53.25 ,$45.88 ,$51.50 ,16168840,$11.19 
157,IBM,12/1/1992,$68.37 ,$68.87 ,$48.75 ,$50.38 ,18623763,$10.95 
158,IBM,11/2/1992,$67.00 ,$69.87 ,$60.88 ,$68.25 ,10446800,$14.83 
159,IBM,10/1/1992,$81.00 ,$81.12 ,$65.00 ,$66.87 ,12186690,$14.27 
160,IBM,9/1/1992,$86.62 ,$88.75 ,$80.00 ,$80.75 ,6983028,$17.23 
161,IBM,8/3/1992,$94.50 ,$95.25 ,$85.00 ,$86.62 ,5976438,$18.49 
162,IBM,7/1/1992,$97.87 ,$100.37 ,$92.37 ,$94.75 ,6686327,$19.96 
163,IBM,6/1/1992,$90.50 ,$98.62 ,$88.25 ,$97.87 ,6858272,$20.61 
164,IBM,5/1/1992,$91.25 ,$94.37 ,$90.12 ,$90.75 ,5872100,$19.11 
165,IBM,4/1/1992,$83.50 ,$90.75 ,$81.62 ,$90.75 ,7671200,$18.87 
166,IBM,3/2/1992,$86.87 ,$90.25 ,$83.12 ,$83.50 ,6406400,$17.36 
167,IBM,2/3/1992,$90.00 ,$93.25 ,$86.62 ,$86.87 ,6143600,$18.06 
168,IBM,1/2/1992,$89.00 ,$98.12 ,$88.87 ,$90.00 ,7038309,$18.46 
169,IBM,12/2/1991,$91.12 ,$92.37 ,$83.50 ,$89.00 ,9268266,$18.26 
170,IBM,11/1/1991,$98.37 ,$101.37 ,$92.37 ,$92.50 ,6154600,$18.97 
171,IBM,10/1/1991,$103.62 ,$104.75 ,$96.75 ,$98.25 ,5507460,$19.91 
172,IBM,9/3/1991,$97.75 ,$106.37 ,$97.62 ,$103.62 ,6116320,$20.99 
173,IBM,8/1/1991,$101.00 ,$101.75 ,$92.00 ,$96.87 ,6046909,$19.63 
174,IBM,7/1/1991,$97.62 ,$103.00 ,$95.62 ,$101.25 ,5418018,$20.27 
175,IBM,6/3/1991,$106.00 ,$107.37 ,$96.62 ,$97.12 ,7556480,$19.44 
176,IBM,5/1/1991,$102.50 ,$106.50 ,$100.50 ,$106.12 ,6893527,$21.24 
177,IBM,4/1/1991,$113.87 ,$114.75 ,$102.12 ,$103.00 ,8065490,$20.38 
178,IBM,3/1/1991,$128.25 ,$135.00 ,$111.00 ,$113.87 ,9248540,$22.53 
179,IBM,2/1/1991,$126.50 ,$139.75 ,$125.62 ,$128.75 ,8918400,$25.47 
180,IBM,1/2/1991,$112.87 ,$127.12 ,$105.50 ,$126.75 ,8275727,$24.84 
181,IBM,12/3/1990,$114.50 ,$116.00 ,$110.62 ,$113.00 ,5632040,$22.14 
182,IBM,11/1/1990,$105.37 ,$115.12 ,$104.87 ,$113.62 ,7065238,$22.26 
183,IBM,10/1/1990,$107.12 ,$110.37 ,$96.25 ,$105.50 ,7268347,$20.44 
184,IBM,9/4/1990,$101.00 ,$109.25 ,$100.75 ,$106.37 ,6630147,$20.61 
185,IBM,8/1/1990,$111.87 ,$112.37 ,$96.50 ,$101.87 ,7365808,$19.74 
186,IBM,7/2/1990,$117.50 ,$123.12 ,$110.50 ,$111.50 ,5997257,$21.36 
187,IBM,6/1/1990,$120.50 ,$122.25 ,$116.25 ,$117.50 ,5790647,$22.51 
188,IBM,5/1/1990,$109.50 ,$122.12 ,$107.87 ,$120.00 ,7155000,$22.99 
189,IBM,4/2/1990,$105.12 ,$111.25 ,$105.00 ,$109.00 ,5837000,$20.65 
190,IBM,3/1/1990,$103.75 ,$109.37 ,$103.37 ,$106.12 ,6103763,$20.11 
191,IBM,2/1/1990,$98.62 ,$105.50 ,$97.50 ,$103.87 ,7356484,$19.68 
192,IBM,1/2/1990,$94.75 ,$101.62 ,$94.50 ,$98.62 ,7503781,$18.46 
193,IBM,12/1/1989,$97.62 ,$101.87 ,$93.37 ,$94.12 ,6819080,$17.61 
194,IBM,11/1/1989,$100.25 ,$100.75 ,$96.00 ,$97.62 ,6029961,$18.27 
195,IBM,10/2/1989,$109.37 ,$109.75 ,$97.75 ,$100.25 ,8059309,$18.53 
196,IBM,9/1/1989,$116.87 ,$118.75 ,$107.75 ,$109.25 ,6864140,$20.20 
197,IBM,8/1/1989,$115.50 ,$119.37 ,$112.50 ,$117.12 ,6630156,$21.65 
198,IBM,7/3/1989,$112.50 ,$116.75 ,$110.62 ,$115.00 ,5592420,$21.04 
199,IBM,6/1/1989,$109.50 ,$115.12 ,$107.50 ,$111.87 ,6931072,$20.46 
200,IBM,5/1/1989,$113.00 ,$113.75 ,$107.50 ,$109.62 ,6557000,$20.05 
201,IBM,4/3/1989,$109.25 ,$115.75 ,$106.25 ,$114.12 ,5811060,$20.65 
202,IBM,3/1/1989,$122.12 ,$122.37 ,$107.62 ,$109.12 ,7744218,$19.74 
203,IBM,2/1/1989,$129.75 ,$130.88 ,$120.62 ,$121.50 ,6289915,$21.98 
204,IBM,1/3/1989,$121.87 ,$130.88 ,$120.62 ,$130.63 ,6688380,$23.43 
205,IBM,12/1/1988,$118.37 ,$124.12 ,$117.62 ,$121.87 ,4477828,$21.86 
206,IBM,11/1/1988,$122.87 ,$124.37 ,$114.12 ,$118.50 ,5188438,$21.26 
207,IBM,10/3/1988,$115.12 ,$124.87 ,$112.75 ,$122.62 ,5790742,$21.80 
208,IBM,9/1/1988,$111.12 ,$116.50 ,$109.50 ,$115.37 ,5433352,$20.51 
209,IBM,8/1/1988,$126.00 ,$126.87 ,$110.37 ,$111.50 ,5256886,$19.82 
210,IBM,7/1/1988,$127.75 ,$129.50 ,$120.00 ,$125.75 ,6282660,$22.16 
211,IBM,6/1/1988,$113.00 ,$128.38 ,$111.75 ,$127.37 ,7438090,$22.45 
212,IBM,5/2/1988,$113.62 ,$115.12 ,$107.50 ,$112.50 ,4249790,$19.83 
213,IBM,4/4/1988,$107.50 ,$116.50 ,$105.62 ,$113.37 ,6598620,$19.78 
214,IBM,3/1/1988,$117.87 ,$118.62 ,$104.25 ,$107.62 ,6373182,$18.78 
215,IBM,2/1/1988,$112.75 ,$117.87 ,$106.87 ,$117.50 ,7290480,$20.51 
216,IBM,1/4/1988,$117.00 ,$124.00 ,$108.62 ,$112.37 ,8420960,$19.41 
217,IBM,12/1/1987,$112.50 ,$120.37 ,$105.00 ,$115.50 ,6809909,$19.95 
218,IBM,11/2/1987,$121.00 ,$124.87 ,$110.00 ,$110.75 ,7524100,$19.13 
219,IBM,10/1/1987,$151.25 ,$157.25 ,$100.00 ,$122.50 ,12657872,$20.97 
220,IBM,9/1/1987,$168.63 ,$169.38 ,$148.50 ,$150.75 ,9960361,$25.81 
221,IBM,8/3/1987,$159.50 ,$175.88 ,$158.50 ,$168.38 ,9350304,$28.82 
222,IBM,7/1/1987,$162.88 ,$169.88 ,$159.13 ,$161.00 ,6122872,$27.37 
223,IBM,6/1/1987,$161.00 ,$168.63 ,$156.00 ,$162.50 ,6594545,$27.63 
224,IBM,5/1/1987,$160.00 ,$167.63 ,$155.00 ,$160.00 ,7800820,$27.20 
225,IBM,4/1/1987,$149.00 ,$161.50 ,$142.63 ,$160.13 ,11348533,$27.04 
226,IBM,3/2/1987,$139.50 ,$156.63 ,$137.63 ,$150.13 ,7628036,$25.35 
227,IBM,2/2/1987,$128.25 ,$144.25 ,$128.00 ,$139.50 ,7844210,$23.56 
228,IBM,1/2/1987,$121.00 ,$130.88 ,$115.75 ,$128.75 ,9833866,$21.57 
229,IBM,12/1/1986,$126.50 ,$130.13 ,$120.00 ,$120.00 ,6371690,$20.10 
230,IBM,11/3/1986,$124.00 ,$127.87 ,$119.25 ,$127.12 ,5959136,$21.29 
231,IBM,10/1/1986,$134.88 ,$135.50 ,$119.75 ,$123.62 ,7612730,$20.53 
232,IBM,9/2/1986,$138.88 ,$145.50 ,$133.13 ,$134.50 ,8053923,$22.33 
233,IBM,8/1/1986,$132.63 ,$142.00 ,$129.25 ,$138.75 ,5624114,$23.04 
234,Intel,12/1/2005,$26.94 ,$27.49 ,$24.87 ,$24.96 ,54107733,$24.57 
235,Intel,11/1/2005,$23.18 ,$27.15 ,$22.53 ,$26.68 ,56234966,$26.27 
236,Intel,10/3/2005,$24.74 ,$24.96 ,$22.75 ,$23.50 ,58262005,$23.06 
237,Intel,9/1/2005,$25.58 ,$26.12 ,$23.80 ,$24.65 ,53493957,$24.19 
238,Intel,8/1/2005,$27.24 ,$27.66 ,$25.31 ,$25.72 ,45049221,$25.24 
239,Intel,7/1/2005,$26.23 ,$28.84 ,$26.08 ,$27.14 ,55455755,$26.55 
240,Intel,6/1/2005,$26.80 ,$27.75 ,$25.73 ,$26.02 ,55191463,$25.46 
241,Intel,5/2/2005,$23.50 ,$27.40 ,$23.35 ,$26.96 ,64584867,$26.38 
242,Intel,4/1/2005,$23.34 ,$23.90 ,$21.94 ,$23.52 ,67651157,$22.93 
243,Intel,3/1/2005,$24.36 ,$25.47 ,$22.96 ,$23.23 ,63823945,$22.65 
244,Intel,2/1/2005,$22.49 ,$24.63 ,$22.17 ,$23.99 ,78924846,$23.39 
245,Intel,1/3/2005,$23.64 ,$23.79 ,$21.89 ,$22.45 ,82481585,$21.81 
246,Intel,12/1/2004,$22.50 ,$24.50 ,$22.44 ,$23.39 ,69185754,$22.73 
247,Intel,11/1/2004,$22.19 ,$24.99 ,$22.15 ,$22.38 ,72085390,$21.74 
248,Intel,10/1/2004,$20.30 ,$22.61 ,$20.22 ,$22.26 ,75530195,$21.59 
249,Intel,9/1/2004,$21.10 ,$21.72 ,$19.64 ,$20.06 ,77974208,$19.46 
250,Intel,8/2/2004,$24.04 ,$24.99 ,$20.86 ,$21.29 ,61273304,$20.65 
251,Intel,7/1/2004,$27.39 ,$27.48 ,$22.46 ,$24.38 ,84238776,$23.61 
252,Intel,6/1/2004,$28.37 ,$29.01 ,$27.13 ,$27.60 ,51221776,$26.72 
253,Intel,5/3/2004,$26.05 ,$28.98 ,$25.61 ,$28.55 ,62199539,$27.64 
254,Intel,4/1/2004,$27.37 ,$28.56 ,$25.72 ,$25.73 ,68996995,$24.88 
255,Intel,3/1/2004,$29.04 ,$30.14 ,$26.03 ,$27.20 ,76426029,$26.30 
256,Intel,2/2/2004,$30.90 ,$31.43 ,$28.65 ,$29.20 ,60823984,$28.23 
257,Intel,1/2/2004,$32.36 ,$34.60 ,$30.35 ,$30.52 ,59486895,$29.47 
258,Intel,12/1/2003,$33.82 ,$34.40 ,$29.66 ,$32.05 ,50668872,$30.95 
259,Intel,11/3/2003,$33.33 ,$34.51 ,$31.66 ,$33.54 ,48305094,$32.39 
260,Intel,10/1/2003,$27.82 ,$33.28 ,$27.81 ,$32.95 ,54786638,$31.80 
261,Intel,9/2/2003,$28.77 ,$29.38 ,$27.22 ,$27.52 ,58535385,$26.56 
262,Intel,8/1/2003,$24.78 ,$29.04 ,$23.33 ,$28.59 ,56696171,$27.59 
263,Intel,7/1/2003,$20.87 ,$25.50 ,$20.51 ,$24.89 ,68178022,$24.00 
264,Intel,6/2/2003,$21.00 ,$22.92 ,$19.99 ,$20.81 ,67030680,$20.07 
265,Intel,5/1/2003,$18.37 ,$21.01 ,$18.30 ,$20.82 ,64541551,$20.08 
266,Intel,4/1/2003,$16.38 ,$19.56 ,$16.28 ,$18.40 ,61260466,$17.72 
267,Intel,3/3/2003,$17.13 ,$19.01 ,$15.59 ,$16.28 ,64721704,$15.68 
268,Intel,2/3/2003,$15.65 ,$17.29 ,$14.88 ,$17.25 ,54643742,$16.62 
269,Intel,1/2/2003,$16.02 ,$18.01 ,$15.14 ,$15.66 ,64880928,$15.06 
270,Intel,12/2/2002,$21.88 ,$22.09 ,$15.42 ,$15.57 ,58389095,$14.98 
271,Intel,11/1/2002,$17.10 ,$21.30 ,$16.91 ,$20.88 ,63559699,$20.09 
272,Intel,10/1/2002,$14.05 ,$17.51 ,$12.95 ,$17.30 ,85138574,$16.62 
273,Intel,9/3/2002,$16.47 ,$17.04 ,$13.67 ,$13.89 ,66464565,$13.35 
